hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,438.1775,421.5316666666667,18.578333333333333,26.159166666666668,2.0083333333333333,3.1691666666666665,0.36916666666666664,1.4266666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,261.29833333333335,253.77333333333334,10.139999999999999,15.300833333333333,2.3025,1.015,0.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,230.81416666666667,255.30249999999998,6.0225,19.575833333333332,1.4366666666666668,1.5133333333333332,0.035833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,244.7133333333333,214.07416666666668,9.957500000000001,13.716666666666667,0.7300000000000001,1.1691666666666667,0.5733333333333334,0.0,0.29583333333333334,0.0,0.10250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,214.44915254237287,203.88898305084746,7.697457627118645,15.60084745762712,0.29152542372881357,4.004237288135593,0.0,0.838135593220339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,223.38916666666668,209.16666666666666,15.4275,12.173333333333334,2.2375,0.15416666666666667,0.3158333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,312.0783333333333,293.2708333333333,11.19,20.15,1.52,1.3583333333333334,0.04083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,373.3025,381.4191666666667,22.0975,19.41,4.380833333333333,5.8358333333333325,3.1816666666666666,1.6091666666666666,0.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,486.23387096774195,502.44032258064516,24.70967741935484,27.101612903225806,2.764516129032258,1.5241935483870968,2.3096774193548386,0.21935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
